date,name_jp,npatients
2022-01-20,茨城県,27385
2022-01-19,茨城県,26908
2022-01-18,茨城県,26515
2022-01-17,茨城県,26259
2022-01-16,茨城県,25943
2022-01-15,茨城県,25690
2022-01-14,茨城県,25434
2022-01-13,茨城県,25185
2022-01-12,茨城県,25008
2022-01-11,茨城県,24881
2022-01-10,茨城県,24835
2022-01-09,茨城県,24787
2022-01-08,茨城県,24713
2022-01-07,茨城県,24612
2022-01-06,茨城県,24554
2022-01-05,茨城県,24520
2022-01-04,茨城県,24504
2022-01-03,茨城県,24495
2022-01-02,茨城県,24493
2022-01-01,茨城県,24491
2021-12-31,茨城県,24490
2021-12-30,茨城県,24488
2021-12-29,茨城県,24487
2021-12-28,茨城県,24483
2021-12-27,茨城県,24483
2021-12-26,茨城県,24482
2021-12-25,茨城県,24480
2021-12-24,茨城県,24478
2021-12-23,茨城県,24477
2021-12-22,茨城県,24477
2021-12-21,茨城県,24475
2021-12-20,茨城県,24472
2021-12-19,茨城県,24470
2021-12-18,茨城県,24469
2021-12-17,茨城県,24468
2021-12-16,茨城県,24468
2021-12-15,茨城県,24466
2021-12-14,茨城県,24465
2021-12-13,茨城県,24463
2021-12-12,茨城県,24463
2021-12-11,茨城県,24462
2021-12-10,茨城県,24458
2021-12-09,茨城県,24455
2021-12-08,茨城県,24451
2021-12-07,茨城県,24450
2021-12-06,茨城県,24449
2021-12-05,茨城県,24449
2021-12-04,茨城県,24449
2021-12-03,茨城県,24449
2021-12-02,茨城県,24449
2021-12-01,茨城県,24449
2021-11-30,茨城県,24449
2021-11-29,茨城県,24449
2021-11-28,茨城県,24449
2021-11-27,茨城県,24449
2021-11-26,茨城県,24448
2021-11-25,茨城県,24447
2021-11-24,茨城県,24447
2021-11-23,茨城県,24447
2021-11-22,茨城県,24447
2021-11-21,茨城県,24446
2021-11-20,茨城県,24443
2021-11-19,茨城県,24443
2021-11-18,茨城県,24439
2021-11-17,茨城県,24437
2021-11-16,茨城県,24436
2021-11-15,茨城県,24435
2021-11-14,茨城県,24433
2021-11-13,茨城県,24432
2021-11-12,茨城県,24429
2021-11-11,茨城県,24422
2021-11-10,茨城県,24419
2021-11-09,茨城県,24416
2021-11-08,茨城県,24414
2021-11-07,茨城県,24413
2021-11-06,茨城県,24409
2021-11-05,茨城県,24407
2021-11-04,茨城県,24406
2021-11-03,茨城県,24405
2021-11-02,茨城県,24404
2021-11-01,茨城県,24403
2021-10-31,茨城県,24403
2021-10-30,茨城県,24400
2021-10-29,茨城県,24394
2021-10-28,茨城県,24390
2021-10-27,茨城県,24388
2021-10-26,茨城県,24387
2021-10-25,茨城県,24384
2021-10-24,茨城県,24384
2021-10-23,茨城県,24384
2021-10-22,茨城県,24381
2021-10-21,茨城県,24376
2021-10-20,茨城県,24370
2021-10-19,茨城県,24363
2021-10-18,茨城県,24357
2021-10-17,茨城県,24356
2021-10-16,茨城県,24351
2021-10-15,茨城県,24346
2021-10-14,茨城県,24337
2021-10-13,茨城県,24332
2021-10-12,茨城県,24321
2021-10-11,茨城県,24315
2021-10-10,茨城県,24312
2021-10-09,茨城県,24295
2021-10-08,茨城県,24276
2021-10-07,茨城県,24264
2021-10-06,茨城県,24248
2021-10-05,茨城県,24223
2021-10-04,茨城県,24211
2021-10-03,茨城県,24196
2021-10-02,茨城県,24187
2021-10-01,茨城県,24168
2021-09-30,茨城県,24141
2021-09-29,茨城県,24120
2021-09-28,茨城県,24076
2021-09-27,茨城県,24052
2021-09-26,茨城県,24021
2021-09-25,茨城県,23974
2021-09-24,茨城県,23958
2021-09-23,茨城県,23887
2021-09-22,茨城県,23836
2021-09-21,茨城県,23809
2021-09-20,茨城県,23771
2021-09-19,茨城県,23708
2021-09-18,茨城県,23617
2021-09-17,茨城県,23512
2021-09-16,茨城県,23405
2021-09-15,茨城県,23266
2021-09-14,茨城県,23146
2021-09-13,茨城県,23068
2021-09-12,茨城県,22955
2021-09-11,茨城県,22820
2021-09-10,茨城県,22681
2021-09-09,茨城県,22518
2021-09-08,茨城県,22335
2021-09-07,茨城県,22129
2021-09-06,茨城県,22004
2021-09-05,茨城県,21846
2021-09-04,茨城県,21588
2021-09-03,茨城県,21325
2021-09-02,茨城県,21062
2021-09-01,茨城県,20842
2021-08-31,茨城県,20627
2021-08-30,茨城県,20467
2021-08-29,茨城県,20241
2021-08-28,茨城県,20022
2021-08-27,茨城県,19741
2021-08-26,茨城県,19413
2021-08-25,茨城県,19142
2021-08-24,茨城県,18867
2021-08-23,茨城県,18620
2021-08-22,茨城県,18344
2021-08-21,茨城県,18008
2021-08-20,茨城県,17644
2021-08-19,茨城県,17288
2021-08-18,茨城県,16992
2021-08-17,茨城県,16647
2021-08-16,茨城県,16387
